,Game,Pos,Genre,Console,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Total_Sales,Relese_Month,Relese_Year,Hit_Games
0,God of War,1,Action,Series,Sony Computer Entertainment,SIE Santa Monica Studio,0.0,0.0,0.0,0,0,0,0,51000000,3,2005,1
1,Warriors,2,Action,Series,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,47820000,6,1997,1
2,Devil May Cry,3,Action,Series,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,25200000,10,2001,1
3,Dynasty Warriors,4,Action,Series,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,21150000,6,1997,1
4,Frogger,5,Action,Series,Konami,Konami,0.0,0.0,0.0,0,0,0,0,20000000,10,1981,1
5,God of War (2018)    Read the review,6,Action,PC,Sony Interactive Entertainment,SIE Santa Monica Studio,9.0,9.7,10.0,0,0,0,0,19500000,4,2018,1
6,Grand Theft Auto: San Andreas,7,Action,PS2,Rockstar Games,Rockstar North,0.0,9.5,0.0,0,0,0,0,17300000,10,2004,1
7,Uncharted 4: A Thief's End,8,Action,PS4,Sony Interactive Entertainment,Naughty Dog,0.0,9.2,0.0,0,0,0,0,16250000,5,2016,1
8,Grand Theft Auto V,9,Action,PC,Rockstar Games,Rockstar North,0.0,0.0,0.0,0,0,0,0,12600000,4,2015,1
9,The Binding of Isaac,10,Action,Series,Edmund McMillen,Edmund McMillen,0.0,0.0,0.0,0,0,0,0,9930000,9,2011,1
10,Uncharted 3: Drake's Deception,11,Action,PS3,Sony Computer Entertainment,Naughty Dog,0.0,9.3,6.3,0,0,0,0,9300000,11,2011,1
11,Ninja Gaiden,12,Action,Series,Tecmo,Tecmo,0.0,0.0,0.0,0,0,0,0,8960000,10,1988,1
12,Harry Potter and the Sorcerer's Stone,13,Action,PS,Electronic Arts,Argonaut Games,0.0,8.0,0.0,0,0,0,0,8000000,11,2001,1
13,Samurai Warriors,14,Action,Series,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,8000000,5,2004,1
14,God of War III    Read the review,15,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,0,0,0,0,7600000,3,2010,1
15,The Binding of Isaac,16,Action,PC,Edmund McMillen,Edmund McMillen,0.0,8.3,0.0,0,0,0,0,7170000,9,2011,1
16,Metal Gear Solid 2: Sons of Liberty,17,Action,PS2,Konami,Konami Computer Entertainment Japan,0.0,9.5,7.0,0,0,0,0,7000000,11,2001,1
17,Metal Gear Solid,18,Action,PS,Konami,Konami Computer Entertainment Japan,0.0,9.3,0.0,0,0,0,0,6000000,10,1998,1
18,Metal Gear Solid 4: Guns of the Patriots    Read the review,19,Action,PS3,Konami,Kojima Productions,9.5,9.3,9.8,0,0,0,0,6000000,6,2008,1
19,Dead Cells,20,Action,All,Motion Twin,Motion Twin,0.0,0.0,0.0,0,0,0,0,6000000,8,2018,1
20,Tomb Raider (2013),21,Action,PC,Square Enix,Crystal Dynamics,0.0,8.8,0.0,0,0,0,0,5500000,3,2013,1
21,Devil May Cry 5,22,Action,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,5000000,3,2019,1
22,Hyrule Warriors,23,Action,Series,Nintendo,Omega Force,0.0,0.0,0.0,0,0,0,0,5000000,9,2014,1
23,Dead by Daylight,24,Action,All,Behaviour Interactive,Behaviour Interactive,0.0,0.0,0.0,0,0,0,0,5000000,6,2016,1
24,Resident Evil 2,25,Action,PS,Capcom,Capcom,0.0,9.3,0.0,0,0,0,0,4960000,1,1998,1
